"","TRACTCE10","SMARTPHONE_APP","OTHER","EMAIL","PHONE","FAX","SOCIALMEDIA","WALKIN","MAIL","WEB","MAYOR_OFFICE","PER_TRACT","DELAYED","perc_smartapp","perc_other","perc_email","perc_phone","perc_fax","perc_socialmedia","perc_walkin","perc_mail","perc_web","perc_mayor","perc_delayed"
"67","005501",17,0,5,616,5,0,3,0,15,0,661,188,0.0257186081694402,0,0.0075642965204236,0.931921331316188,0.0075642965204236,0,0.00453857791225416,0,0.0226928895612708,0,0.284417549167927
"68","005502",40,0,7,751,2,1,4,1,22,0,828,225,0.0483091787439614,0,0.00845410628019324,0.907004830917874,0.00241545893719807,0.00120772946859903,0.00483091787439614,0.00120772946859903,0.0265700483091787,0,0.271739130434783
"69","005600",14,0,5,470,2,0,6,1,8,0,506,118,0.0276679841897233,0,0.00988142292490119,0.928853754940711,0.00395256916996047,0,0.0118577075098814,0.00197628458498024,0.0158102766798419,0,0.233201581027668
"70","005701",23,0,9,591,4,1,2,0,3,0,633,147,0.0363349131121643,0,0.014218009478673,0.933649289099526,0.00631911532385466,0.00157977883096367,0.00315955766192733,0,0.004739336492891,0,0.232227488151659
"71","005703",5,0,1,136,6,0,0,0,2,0,150,31,0.0333333333333333,0,0.00666666666666667,0.906666666666667,0.04,0,0,0,0.0133333333333333,0,0.206666666666667
"72","005704",32,0,5,550,6,0,2,0,10,0,605,142,0.0528925619834711,0,0.00826446280991736,0.909090909090909,0.00991735537190083,0,0.00330578512396694,0,0.0165289256198347,0,0.234710743801653
"73","005801",18,0,3,698,3,0,12,0,7,0,741,149,0.0242914979757085,0,0.00404858299595142,0.941970310391363,0.00404858299595142,0,0.0161943319838057,0,0.00944669365721997,0,0.201079622132254
"74","005802",46,0,8,950,7,0,3,0,20,0,1034,269,0.0444874274661509,0,0.00773694390715667,0.918762088974855,0.00676982591876209,0,0.00290135396518375,0,0.0193423597678917,0,0.260154738878143
"75","005901",0,0,1,11,0,0,0,0,0,0,12,5,0,0,0.0833333333333333,0.916666666666667,0,0,0,0,0,0,0.416666666666667
"76","005902",1,0,0,18,0,0,0,0,1,0,20,10,0.05,0,0,0.9,0,0,0,0,0.05,0,0.5
"77","006101",0,0,0,2,0,0,0,0,0,0,2,NA,0,0,0,1,0,0,0,0,0,0,NA
"78","006201",0,0,4,20,0,0,0,0,0,0,24,4,0,0,0.166666666666667,0.833333333333333,0,0,0,0,0,0,0.166666666666667
"79","006301",21,0,9,578,3,1,6,0,12,0,630,197,0.0333333333333333,0,0.0142857142857143,0.917460317460317,0.00476190476190476,0.00158730158730159,0.00952380952380952,0,0.019047619047619,0,0.312698412698413
"80","006302",30,0,8,645,4,1,1,0,12,0,701,202,0.0427960057061341,0,0.0114122681883024,0.920114122681883,0.00570613409415121,0.0014265335235378,0.0014265335235378,0,0.0171184022824536,0,0.288159771754636
"81","006401",7,0,6,401,2,0,1,0,11,0,428,134,0.0163551401869159,0,0.014018691588785,0.936915887850467,0.00467289719626168,0,0.00233644859813084,0,0.0257009345794393,0,0.313084112149533
"82","006402",23,0,10,395,4,0,0,1,13,0,446,130,0.0515695067264574,0,0.0224215246636771,0.885650224215247,0.00896860986547085,0,0,0.00224215246636771,0.0291479820627803,0,0.291479820627803
"83","006403",12,0,5,442,2,0,0,1,12,0,474,131,0.0253164556962025,0,0.0105485232067511,0.932489451476793,0.00421940928270042,0,0,0.00210970464135021,0.0253164556962025,0,0.276371308016878
"84","006501",13,0,2,350,1,0,0,0,12,0,378,98,0.0343915343915344,0,0.00529100529100529,0.925925925925926,0.00264550264550265,0,0,0,0.0317460317460317,0,0.259259259259259
"85","006503",20,0,9,270,4,0,1,2,11,0,317,81,0.0630914826498423,0,0.028391167192429,0.851735015772871,0.0126182965299685,0,0.00315457413249211,0.00630914826498423,0.0347003154574132,0,0.255520504731861
"86","006504",26,0,6,269,1,0,0,0,8,0,310,70,0.0838709677419355,0,0.0193548387096774,0.867741935483871,0.0032258064516129,0,0,0,0.0258064516129032,0,0.225806451612903
"87","006601",32,0,3,732,6,0,1,0,17,0,791,247,0.0404551201011378,0,0.00379266750948167,0.925410872313527,0.00758533501896334,0,0.00126422250316056,0,0.0214917825537295,0,0.312262958280657
"88","006602",26,0,8,434,4,1,0,0,18,0,491,179,0.0529531568228106,0,0.0162932790224033,0.883910386965377,0.00814663951120163,0.00203665987780041,0,0,0.0366598778004073,0,0.364562118126273
"89","006702",87,0,54,778,10,3,3,0,47,1,983,304,0.0885045778229908,0,0.0549338758901322,0.791454730417091,0.0101729399796541,0.00305188199389624,0.00305188199389624,0,0.0478128179043744,0.00101729399796541,0.309257375381485
"90","006705",2,0,2,54,0,0,1,0,2,0,61,14,0.0327868852459016,0,0.0327868852459016,0.885245901639344,0,0,0.0163934426229508,0,0.0327868852459016,0,0.229508196721311
"91","006706",3,0,1,52,1,0,0,0,2,0,59,13,0.0508474576271186,0,0.0169491525423729,0.88135593220339,0.0169491525423729,0,0,0,0.0338983050847458,0,0.220338983050847
"92","006707",0,0,0,80,0,0,0,0,1,0,81,13,0,0,0,0.987654320987654,0,0,0,0,0.0123456790123457,0,0.160493827160494
"93","006709",4,0,4,66,0,1,0,0,5,2,82,16,0.0487804878048781,0,0.0487804878048781,0.804878048780488,0,0.0121951219512195,0,0,0.0609756097560976,0.024390243902439,0.195121951219512
"94","006711",4,0,7,108,1,2,2,0,7,0,131,23,0.0305343511450382,0,0.0534351145038168,0.824427480916031,0.00763358778625954,0.0152671755725191,0.0152671755725191,0,0.0534351145038168,0,0.175572519083969
"95","006713",9,0,4,82,0,0,2,0,5,0,102,30,0.0882352941176471,0,0.0392156862745098,0.803921568627451,0,0,0.0196078431372549,0,0.0490196078431373,0,0.294117647058824
"96","006714",3,0,1,47,1,0,0,0,4,0,56,14,0.0535714285714286,0,0.0178571428571429,0.839285714285714,0.0178571428571429,0,0,0,0.0714285714285714,0,0.25
"97","006801",23,0,33,391,2,0,2,0,22,0,473,138,0.0486257928118393,0,0.0697674418604651,0.826638477801269,0.00422832980972516,0,0.00422832980972516,0,0.0465116279069767,0,0.291754756871036
"98","006802",17,0,44,645,4,0,3,0,17,0,730,217,0.0232876712328767,0,0.0602739726027397,0.883561643835616,0.00547945205479452,0,0.00410958904109589,0,0.0232876712328767,0,0.297260273972603
"99","006900",37,1,13,708,3,0,0,0,56,0,818,259,0.0452322738386308,0.00122249388753056,0.0158924205378973,0.865525672371638,0.00366748166259169,0,0,0,0.0684596577017115,0,0.316625916870416
"100","007001",27,0,16,764,10,0,5,2,12,0,836,214,0.0322966507177034,0,0.0191387559808612,0.913875598086124,0.0119617224880383,0,0.00598086124401914,0.00239234449760766,0.0143540669856459,0,0.255980861244019
"101","007002",36,0,12,798,5,0,9,0,26,0,886,281,0.0406320541760722,0,0.0135440180586907,0.900677200902935,0.00564334085778781,0,0.0101580135440181,0,0.0293453724604966,0,0.317155756207675
"102","007101",12,0,12,331,0,0,0,0,12,0,367,111,0.0326975476839237,0,0.0326975476839237,0.901907356948229,0,0,0,0,0.0326975476839237,0,0.302452316076294
"103","007103",19,0,11,192,2,0,2,1,14,0,241,56,0.0788381742738589,0,0.045643153526971,0.796680497925311,0.00829875518672199,0,0.00829875518672199,0.004149377593361,0.0580912863070539,0,0.232365145228216
"104","007104",22,0,13,412,6,0,2,0,17,0,472,138,0.0466101694915254,0,0.0275423728813559,0.872881355932203,0.0127118644067797,0,0.00423728813559322,0,0.0360169491525424,0,0.292372881355932
"105","007200",4,0,12,365,4,0,0,0,8,0,393,163,0.0101781170483461,0,0.0305343511450382,0.928753180661578,0.0101781170483461,0,0,0,0.0203562340966921,0,0.414758269720102
"106","007300",29,0,39,584,4,1,5,0,33,1,696,261,0.0416666666666667,0,0.0560344827586207,0.839080459770115,0.00574712643678161,0.0014367816091954,0.00718390804597701,0,0.0474137931034483,0.0014367816091954,0.375
"107","007400",0,0,0,8,0,0,1,0,0,0,9,NA,0,0,0,0.888888888888889,0,0,0.111111111111111,0,0,0,NA
"108","007702",0,0,0,1,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,NA
"109","490100",9,0,1,176,0,0,0,0,6,0,192,50,0.046875,0,0.00520833333333333,0.916666666666667,0,0,0,0,0.03125,0,0.260416666666667
