"","tract","land_area","water_area","med_age","Occupied_housing_units","renter_occupied","med_income","mean_income","perc_female","perc_male","perc_black","perc_asian","perc_white","perc_latino","perc_other","house_with_child","renter","highschool","associate","some_college","bachelor","graduate","year_65_up","eight_to_24","unemployment_rate","per_cap_income","tot_pop","income_15_to_24","income_35_to_49","income_50_to_74","income_75_to_99","income_100_to_149","non_cit","foreign","perc_foreign_pop"
"72","007101",610410,0,37.3,1069,717,26738,58852,40.9,59.1,43.5,0,22,30.6,0,17.9,63.3,27.8,7.8,14.4,17.7,16,18.3,10.6,5.3,21772,2611,25.2,2.9,10.9,9.6,10.3,8.7,780,29.9
"73","006711",95966,0,31.6,1685,1293,60750,112178,51.8,48.2,4.1,0.9,32.6,58.8,2.5,12.2,74.7,6.7,6.6,9.9,39.3,36.6,6.9,13.1,1.7,56983,2662,0,5.2,13.4,7.3,23.4,23.6,1205,45.3
"74","001402",1181552,11686,31.7,1851,1640,15078,31319,51.3,48.7,81.6,0,4.9,11.1,0,24.6,93.3,32.1,3.9,15,11.8,0.8,10,11.1,21.3,10158,6418,23,20.8,7.7,1.7,0,31.2,3110,48.5
"75","004902",1282318,0,42.1,2267,1413,18258,52465,47.7,52.3,0.2,0,1.3,98.2,0,22.2,67.6,43.5,9.5,8.1,7.9,4.8,20.1,13.3,10.9,18323,7484,28,13.5,4.6,15.7,8.3,48.9,5591,74.7
"76","002705",363606,1562494,38.2,1440,961,40583,75296,52,48,7,0,29.6,60.4,0.7,14.7,70.6,17.3,5.2,14.6,26.5,23.8,8.6,5.3,9.4,39177,3099,13.6,6.5,22.2,18.8,9.9,29,1484,47.9
"77","003001",1259064,42281,43.9,987,748,21842,58065,47.2,52.8,20,3,25.3,50.9,0,12.2,85.3,33.7,5.2,14.3,14.3,12.1,23.6,7.5,10.7,22313,2023,10.9,12.7,16.2,7.7,1.5,15.2,726,35.9
"78","003004",937221,32361,39.7,1639,1524,20491,41377,37,63,17.6,2.1,5.6,74.7,0,15.6,94.4,34.4,4.9,12.3,7.4,3.5,17.7,9.8,5.6,13815,5168,23.7,16.1,8.8,2.5,14.7,35.7,3228,62.5
"79","002706",336296,1871869,32.5,1796,1550,35372,74782,50.2,49.8,7.3,2.3,30.7,58.8,0.6,12.9,82.1,20.6,7.7,14.2,30.5,20.5,5.3,10,4.2,36970,4507,10.3,10.6,16.4,25.1,15.1,28.9,2304,51.1
"80","006403",707633,0,43.6,1349,790,21590,51189,48.7,51.3,3.8,1.8,3.9,89.6,0,20.3,65.9,37.6,7.3,8.6,6.2,9.2,22.7,9.4,9.6,19876,3519,28.8,18.4,18.5,5.6,3.7,36.9,2347,66.7
"81","003707",168333,0,36.2,539,475,42159,92537,47.8,52.2,14.3,4,28.8,46,5.7,11.7,91.8,15.9,12.1,10.8,33.4,17.3,11.7,9.1,7.9,40147,1252,17.7,7.7,21.8,5.2,25.8,18.2,583,46.6
