"","TRACTCE10","cluster","state","county","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen","tourist"
"179","009313",1,12,86,5360,52334,29066,11.2,3,18.3,1.2,79.1,1.4,29.7,22.6,10.9,36.8,91.8,8.2,"N.Tourist"
"180","009315",4,12,86,2864,23080,17015,28.2,8.6,7.5,0.3,91.6,0.6,40.7,13.9,7.9,37.5,59.2,40.8,"N.Tourist"
"181","009504",2,12,86,5278,44306,17570,22.2,14.1,3.5,82.9,13.2,0.4,36.3,8.7,3.6,51.4,89.4,10.6,"N.Tourist"
"182","009600",1,12,86,7608,32268,14405,22.8,13,3.9,85.6,10.5,0,30.8,7.4,2.2,59.6,77.7,22.3,"N.Tourist"
"183","009703",1,12,86,3386,97575,44753,3.9,11.8,58.4,0.3,35.9,5.4,11.5,40.1,24.8,23.6,90.9,9.1,"N.Tourist"
"184","009706",1,12,86,3986,45294,37455,15.7,8.8,31.1,9.3,57.4,2.2,20.5,30.9,10.8,37.8,69,31,"N.Tourist"
"185","009803",1,12,86,5072,47222,21102,9.1,6.5,15.8,49.2,31.5,3.5,31.6,15.8,8.4,44.2,88.9,11.1,"N.Tourist"
"186","009808",1,12,86,4897,32875,22612,12.5,9.9,15.1,42.2,37.7,5,27.2,11.4,11.5,49.9,78.9,21.1,"N.Tourist"
"187","009903",2,12,86,4754,48138,23041,17.8,17.2,0.6,91.8,6.7,0.9,26.6,11.8,12.5,49.1,91,9,"N.Tourist"
"188","009905",2,12,86,6116,59736,19472,11.7,10.5,7.6,82.3,7.4,2.7,34.4,8.8,8.8,48,89.2,10.8,"N.Tourist"
"189","010006",2,12,86,8778,39776,16264,22.7,9.8,3.4,42.1,54.5,0,41,6.7,4.9,47.4,77.4,22.6,"N.Tourist"
"190","010009",2,12,86,8145,38990,17641,22.7,8.9,5.5,38.3,55.5,0.7,44.5,4.7,4.9,45.9,83.1,16.9,"N.Tourist"
"191","010012",2,12,86,5689,51350,18980,16.1,11.9,0.2,86.5,9.5,3.8,31.3,18,4.2,46.5,92.2,7.8,"N.Tourist"
"192","010013",1,12,86,4562,55391,18044,20.6,9.1,2.1,24.6,70,3.3,33.5,17.4,4.7,44.4,79.2,20.8,"N.Tourist"
"193","010015",2,12,86,4107,27786,11520,35,7.9,7,2,87.1,3.9,42.5,9.1,3.5,44.9,66.2,33.8,"N.Tourist"
"194","010016",1,12,86,5369,50025,15831,18.2,14.2,2.1,20.1,77.6,0.2,37,15,4.7,43.3,83.5,16.5,"N.Tourist"
"195","010193",1,12,86,3234,94665,31133,3.6,2.1,10.1,6.4,75.1,8.4,24,17.2,19.9,38.9,85.1,14.9,"N.Tourist"
"196","010205",1,12,86,5499,36607,14862,29.1,11.7,9.6,16.4,71.6,2.4,34,12.9,2.3,50.8,75.6,24.4,"N.Tourist"
"197","010207",1,12,86,3847,23453,14040,27.2,6.8,10.8,30.3,58.1,0.8,30.8,17.2,3.9,48.1,72.9,27.1,"N.Tourist"
"198","010210",1,12,86,6863,35000,14527,22.5,8.5,4.9,21.7,66.2,7.2,37.7,9.1,4.6,48.6,74.7,25.3,"N.Tourist"
"199","010609",2,12,86,5849,35134,14788,22.9,14,13.7,27.6,55,3.7,31.3,15.3,4.2,49.2,77.2,22.8,"N.Tourist"
"200","010613",2,12,86,5362,40436,23433,12.7,10.8,26.1,11.6,59.5,2.8,21.3,29.7,13.9,35.1,82.9,17.1,"Tourist"
"201","010703",1,12,86,13393,43973,17816,31.8,11.9,10.2,24.5,63.9,1.4,29.7,9.3,4.8,56.2,79.1,20.9,"N.Tourist"
"202","010801",1,12,86,7662,33477,12024,36,12.9,3.7,21.9,73.2,1.2,33.1,7,1.6,58.3,75.5,24.5,"N.Tourist"
"203","011003",1,12,86,4726,34216,11708,32.3,14.2,6.7,14.3,77,2,41.6,6.5,3.3,48.6,80,20,"N.Tourist"
"204","011005",1,12,86,6845,52232,17969,21.1,15.3,4.9,16.3,77.4,1.4,31.3,11.1,2.1,55.5,77.7,22.3,"N.Tourist"
"205","011101",2,12,86,9434,31887,11192,36.9,12.8,6.1,14.3,78.4,1.2,28.6,4.5,3.2,63.7,60,40,"N.Tourist"
"206","011102",1,12,86,6737,64444,26938,6.3,11.1,34.8,7.6,56.3,1.3,26.9,14.2,4.4,54.5,94,6,"Tourist"
"207","011202",2,12,86,7407,29593,14264,36.9,8,16.7,6.9,73,3.4,20.7,7.3,1.5,70.5,69.1,30.9,"N.Tourist"
"208","011401",2,12,86,18578,60317,22626,16.2,10.2,23.1,24.7,47.2,5,25.4,20.2,10.5,43.9,89,11,"N.Tourist"
"209","011404",1,12,86,9187,25909,6703,45.3,16,19,25.3,54.3,1.4,29.7,4.2,1,65.1,76.1,23.9,"N.Tourist"
"210","011700",1,12,86,7587,32419,15571,22.9,4.5,6,7.7,85.9,0.4,37,7.8,6.1,49.1,67.5,32.5,"N.Tourist"
"211","011800",1,12,86,3391,64281,23420,9,7.3,14,19.1,63,3.9,33.9,17.3,8.2,40.6,86.1,13.9,"N.Tourist"
"212","011900",1,12,86,5503,52921,24209,14.2,6.8,11.3,6,80.9,1.8,24.9,16.2,10.3,48.6,86.8,13.2,"N.Tourist"
"213","012000",1,12,86,8990,33419,15403,27.2,7.9,7,5.4,87.5,0.1,32.3,16.8,5.6,45.3,60,40,"N.Tourist"
"214","012300",1,12,86,7473,72500,23066,6.8,3.3,4.9,7.5,86.7,0.9,26.8,18.3,7.2,47.7,84,16,"N.Tourist"
"215","012500",2,12,86,6711,44947,18384,10.4,5.5,2.4,1.6,95.8,0.2,34.4,10,6.1,49.5,74,26,"N.Tourist"
"216","012600",4,12,86,7481,46223,16980,19.4,3.8,1.7,0.1,97.3,0.9,40.6,11.1,4.5,43.8,77.6,22.4,"N.Tourist"
"217","012800",2,12,86,9202,92931,27565,5.7,2.3,7.9,1.4,87.9,2.8,16.4,24.4,11.6,47.6,85.2,14.8,"N.Tourist"
"218","012900",2,12,86,4537,38429,16513,14.2,7.1,0.3,0.6,99.1,0,31.3,16.7,4.1,47.9,69.2,30.8,"N.Tourist"
"219","013100",2,12,86,5711,34213,13360,24.3,10.7,3.1,0.1,96.7,0.1,36.2,12.4,2.2,49.2,67.2,32.8,"N.Tourist"
"220","013200",4,12,86,6293,53371,19006,13.3,5.1,3.3,0.1,95.6,1,37.6,12.8,4.6,45,76.5,23.5,"N.Tourist"
"221","013400",4,12,86,6431,40768,14209,24.7,15.4,3.2,1.2,95.5,0.1,40.5,8,7.2,44.3,63.5,36.5,"N.Tourist"
"222","013500",2,12,86,5580,32357,13207,23,7.6,1.7,0.3,97.2,0.8,44,9.9,1.6,44.5,57.1,42.9,"N.Tourist"
"223","013900",4,12,86,4983,55819,20051,9,4.6,2,0.6,97.4,0,34.2,12,3.9,49.9,76.9,23.1,"N.Tourist"
"224","014200",1,12,86,5858,69141,23001,9.2,7.3,4,0.4,94.4,1.2,30.1,17.6,9.4,42.9,81.2,18.8,"N.Tourist"
"225","014300",1,12,86,3669,71250,28072,6,6.9,4.2,0.4,93.8,1.6,25.6,23.3,13.3,37.8,84.7,15.3,"N.Tourist"
"226","014700",1,12,86,6703,35613,18752,21.5,4.6,6.8,0,90.2,3,31,21,9,39,75.5,24.5,"N.Tourist"
"227","015000",1,12,86,9158,68289,26878,11.7,6.8,5.2,0.3,93.7,0.8,27.8,16.4,10.3,45.5,84.5,15.5,"N.Tourist"
"228","015200",1,12,86,7551,83825,25707,8,4.8,5.9,1.9,91.8,0.4,22.5,24.2,11.3,42,87.3,12.7,"N.Tourist"
"229","015400",1,12,86,5566,50231,25377,12.6,9,3.4,0.8,95.4,0.4,29.7,21.3,9.6,39.4,87.1,12.9,"N.Tourist"
"230","015800",1,12,86,4911,43405,22000,10.6,5.5,8.7,1,90,0.3,42.3,12.7,4.2,40.8,80.9,19.1,"N.Tourist"
"231","015900",1,12,86,4016,57917,22090,22.1,3.6,9.5,0,89,1.5,32.9,12.3,5,49.8,87.9,12.1,"N.Tourist"
"232","016200",2,12,86,3609,50819,23594,18.5,7.6,9.1,0.1,90.6,0.2,22.2,24.5,6.5,46.8,71.9,28.1,"N.Tourist"
"233","016300",1,12,86,5404,82608,31240,8,4.6,10.6,0.4,84.8,4.2,18.7,26.1,10.8,44.4,87.4,12.6,"N.Tourist"
"234","016400",1,12,86,6395,71424,24540,11.7,6,6.4,1.6,90.7,1.3,31.6,22,9.9,36.5,85.3,14.7,"N.Tourist"
"235","016600",1,12,86,3754,45347,21848,11,5.2,6.3,8.1,83.9,1.7,29.7,16.9,6,47.4,80.7,19.3,"N.Tourist"
"236","016800",1,12,86,4222,61852,23284,10.2,7.3,9.1,1.2,85.9,3.8,29.5,19.6,7.3,43.6,88,12,"N.Tourist"
"237","017100",1,12,86,6921,39140,21116,11.2,10.3,5.6,1.3,90.8,2.3,26.6,20.2,3.9,49.3,79.9,20.1,"N.Tourist"
"238","017300",1,12,86,4785,50771,21730,14.1,7.3,11,1.4,86.4,1.2,27.4,22.5,7.1,43,67.9,32.1,"N.Tourist"
"239","017700",1,12,86,4487,42760,19079,20.3,5.5,6.6,2.6,90,0.8,38.4,17.8,4.4,39.4,73.7,26.3,"N.Tourist"
"240","017800",1,12,86,6322,35896,15320,23.5,7.5,3.5,1,95.5,0,24.8,22.6,2.1,50.5,51.6,48.4,"N.Tourist"
"241","017900",1,12,86,8645,72244,24230,6.8,6.6,16.3,1.4,76.6,5.7,18.9,25.1,9.9,46.1,78.3,21.7,"N.Tourist"
"242","018000",1,12,86,8707,77746,25444,11.5,6.1,14.6,1.3,80.8,3.3,15.8,26.9,11.6,45.7,80.2,19.8,"N.Tourist"
"243","018100",1,12,86,5141,51964,20950,12,6.6,18.3,2.6,77.2,1.9,28.6,19,4.5,47.9,78.2,21.8,"N.Tourist"
"244","018300",1,12,86,5863,69219,22880,14,7,15,1.9,76.8,6.3,22.3,28.4,8.9,40.4,80.8,19.2,"N.Tourist"
"245","018600",1,12,86,9172,62130,22143,5.1,11.2,15.7,3.4,79.1,1.8,26.4,15.8,9,48.8,82,18,"N.Tourist"
"246","018700",1,12,86,5445,79154,22606,7.3,4.8,12.8,3.5,80.1,3.6,27.2,23.4,9.8,39.6,82.2,17.8,"N.Tourist"
"247","018900",1,12,86,6829,67218,29685,12.1,7.5,33.1,4,55.6,7.3,15.9,31.6,12.1,40.4,87.5,12.5,"N.Tourist"
"248","019200",1,12,86,5677,66285,24861,9.6,7.8,31,4.5,58,6.5,22.7,16.6,12.6,48.1,93.8,6.2,"N.Tourist"
"249","019600",1,12,86,6571,107550,27064,15.3,4.9,18.2,6.7,66.5,8.6,21.4,22.3,8.7,47.6,87,13,"N.Tourist"
"250","020000",1,12,86,6528,62065,22768,13,5.1,13.9,6.7,77.6,1.8,27.8,19,8.1,45.1,79.5,20.5,"N.Tourist"
"251","020300",1,12,86,3691,45609,16796,19,9,9.6,12.2,76,2.2,39.5,9.2,3,48.3,77.7,22.3,"N.Tourist"
"252","490100",3,12,86,1893,33036,17253,28.2,7.2,1.6,0.4,97.7,0.3,34.6,9.4,3.5,52.5,64.6,35.4,"N.Tourist"
"253","980300",2,12,86,4584,136667,2796,50,11.8,61.3,11.6,14.7,12.4,26.9,30.6,13,29.5,92.2,7.8,"N.Tourist"
