"","TRACTCE10","cluster","state","county","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen","tourist"
"41","000807",2,12,86,3838,14381,8797,50.2,22.8,3.5,2.4,94.1,0,29.5,11.5,1.7,57.3,62.2,37.8,"N.Tourist"
"42","000903",1,12,86,2744,26860,12036,25.4,15.1,1.1,42.5,56.4,0,39.5,9,2.6,48.9,68.6,31.4,"N.Tourist"
"43","001002",1,12,86,6314,43958,17814,34,15.2,4.3,67.1,27.8,0.8,39.3,7.8,7,45.9,86.1,13.9,"N.Tourist"
"44","001003",1,12,86,4994,33598,15026,27.2,13.2,0.7,74.5,24.6,0.2,33.7,7.8,2.9,55.6,88.9,11.1,"N.Tourist"
"45","001004",1,12,86,6742,23708,11336,46.5,23.7,2.7,80.4,16.5,0.4,44.5,6.6,2.3,46.6,87.7,12.3,"N.Tourist"
"46","001005",1,12,86,2143,26961,14681,23.6,18.8,4,77.1,18.6,0.3,35.5,9.8,5.4,49.3,91.9,8.1,"N.Tourist"
"47","001006",1,12,86,4866,36768,13870,28.6,16.2,4.9,61.3,30.7,3.1,30.4,7.6,5.7,56.3,80.7,19.3,"N.Tourist"
"48","001101",1,12,86,5519,45625,17253,16.1,8.4,10.1,62.7,23.3,3.9,27.5,12.4,3.7,56.4,80.7,19.3,"N.Tourist"
"49","001103",1,12,86,3777,36250,18355,31.1,14.9,8.4,67.2,22.6,1.8,32,10.1,5.5,52.4,82.7,17.3,"N.Tourist"
"50","001104",2,12,86,4829,95607,39146,9.7,5.4,36.8,24,33.4,5.8,16.2,25.8,22.7,35.3,89.1,10.9,"N.Tourist"
"51","001204",1,12,86,5759,43942,33868,11.5,7.7,39.9,16.3,40.6,3.2,21.6,24.9,14,39.5,82.4,17.6,"N.Tourist"
"52","001205",2,12,86,3169,108036,43317,6.3,6.2,56.5,5.3,33.7,4.5,13.5,31.8,23.4,31.3,92.8,7.2,"N.Tourist"
"53","001302",3,12,86,5433,60428,47485,12.6,5.8,34.8,25.2,36.8,3.2,16.9,25.5,15.4,42.2,83.6,16.4,"N.Tourist"
"54","001401",3,12,86,5145,19865,12231,47,24.3,2.2,87.4,9.4,1,29.4,11.5,4.1,55,82.4,17.6,"N.Tourist"
"55","001702",1,12,86,2763,22731,14106,28,18.3,3.3,63.5,32.4,0.8,44.6,5.2,4.1,46.1,87.3,12.7,"N.Tourist"
